name,community
journal of visual communication and image representation,signal processing
journal of visual communication and image representation,vision
knowledge and information systems,data mining
knowledge and information systems,databases
knowledge based systems,ai
language resources and evaluation,computational linguistics
logical methods in computer science,theory
machine vision applications,vision
mathematical biosciences and engineering,bioinformatics
mathematical social sciences,bioinformatics
mechatronics,robotics
medical image analysis,vision
meeting of the association for computational linguistics,computational linguistics
methods of information in medicine,medical informatics
mining software repositories,software systems
multimedia systems,multimedia
multimedia tools and applications,multimedia
natural language engineering,computational linguistics
network and distributed system security symposium,security
networked systems design and implementation,systems
neural computing and applications,ai
neural information processing systems,ai
neural networks,ai
neurocomputing,ai
pacific asia conference on knowledge discovery and data mining,data mining
pacific symposium on biocomputing,bioinformatics
pacific-asia conference on knowledge discovery and data mining,data mining
pattern recognition,vision
pattern recognition letters,vision
physical communication,information theory
plos computational biology,bioinformatics
problems of information transmission,information theory
random structures and algorithms,theory
robotics and autonomous systems,ai
robotics and autonomous systems,robotics
robotics and computer-integrated manufacturing,robotics
robotics: science and systems,robotics
science of computer programming,software systems
security and communication networks,security
siam international conference on data mining,data mining
siam international conference on data mining,databases
siam journal on computing,theory
siam journal on imaging sciences,signal processing
signal processing,signal processing
signal processing-image communication,multimedia
signal processing-image communication,signal processing
software and systems modeling,software systems
spoken language technology workshop,computational linguistics
symposium on discrete algorithms,theory
symposium on the theory of computing,theory
symposium on theoretical aspects of computer science,theory
symposium on usable privacy and security,security
telemedicine journal and e-health,medical informatics
the international journal of robotics research,robotics
the journal of supercomputing,systems
the visual computer,graphics
theoretical computer science,theory
theory and applications of satisfiability testing,theory
theory of cryptography conference,security
usenix conference on file and storage technologies,systems
usenix security symposium,security
usenix technical conference,systems
user interface software and technology,hci
vehicular technology conference,signal processing
virtual reality software and technology,graphics
vision modeling and visualization,graphics
visual analytics science and technology,graphics
wiley interdisciplinary reviews-data mining and knowledge discovery,data mining
workshop on applications of computer vision,vision
journal of medical internet research,medical informatics
