paper_community,reference_community,year,citations
data mining,information theory,1992,4
data mining,information theory,1994,1
data mining,information theory,1995,1
data mining,information theory,1996,2
data mining,information theory,1997,11
data mining,information theory,1998,9
data mining,information theory,1999,3
data mining,information theory,2000,4
data mining,information theory,2001,6
data mining,information theory,2002,9
data mining,information theory,2003,12
data mining,information theory,2004,17
data mining,information theory,2005,13
data mining,information theory,2006,38
data mining,information theory,2007,26
data mining,information theory,2008,28
data mining,information theory,2009,36
data mining,information theory,2010,39
data mining,information theory,2011,47
data mining,information theory,2012,53
data mining,information theory,2013,93
data mining,information theory,2014,87
data mining,information theory,2015,76
data mining,information theory,2016,57
data mining,information theory,2017,22
data mining,medical informatics,1996,1
data mining,medical informatics,1997,1
data mining,medical informatics,1998,1
data mining,medical informatics,1999,1
data mining,medical informatics,2000,5
data mining,medical informatics,2001,1
data mining,medical informatics,2002,10
data mining,medical informatics,2003,1
data mining,medical informatics,2004,16
data mining,medical informatics,2005,4
data mining,medical informatics,2006,25
data mining,medical informatics,2007,30
data mining,medical informatics,2008,14
data mining,medical informatics,2009,16
data mining,medical informatics,2010,25
data mining,medical informatics,2011,61
data mining,medical informatics,2012,23
data mining,medical informatics,2013,55
data mining,medical informatics,2014,57
data mining,medical informatics,2015,87
data mining,medical informatics,2016,47
data mining,medical informatics,2017,60
data mining,multimedia,1995,1
data mining,multimedia,1997,4
data mining,multimedia,1998,20
data mining,multimedia,1999,35
data mining,multimedia,2000,12
data mining,multimedia,2001,17
data mining,multimedia,2002,17
data mining,multimedia,2003,17
data mining,multimedia,2004,22
data mining,multimedia,2005,19
data mining,multimedia,2006,48
data mining,multimedia,2007,33
data mining,multimedia,2008,50
data mining,multimedia,2009,46
data mining,multimedia,2010,42
data mining,multimedia,2011,68
data mining,multimedia,2012,81
data mining,multimedia,2013,89
data mining,multimedia,2014,87
data mining,multimedia,2015,133
data mining,multimedia,2016,113
data mining,multimedia,2017,86
data mining,networks,1991,1
data mining,networks,1992,2
data mining,networks,1993,16
data mining,networks,1994,4
data mining,networks,1996,1
data mining,networks,1997,2
data mining,networks,1998,7
data mining,networks,1999,17
data mining,networks,2000,8
data mining,networks,2001,11
data mining,networks,2002,6
data mining,networks,2003,12
data mining,networks,2004,23
data mining,networks,2005,17
data mining,networks,2006,28
data mining,networks,2007,39
data mining,networks,2008,47
data mining,networks,2009,49
data mining,networks,2010,37
data mining,networks,2011,39
data mining,networks,2012,35
data mining,networks,2013,69
data mining,networks,2014,81
data mining,networks,2015,90
data mining,networks,2016,94
data mining,networks,2017,59
data mining,robotics,1993,1
data mining,robotics,1995,1
data mining,robotics,1999,3
data mining,robotics,2003,4
data mining,robotics,2004,3
data mining,robotics,2005,2
data mining,robotics,2006,7
data mining,robotics,2007,5
data mining,robotics,2008,5
data mining,robotics,2010,11
data mining,robotics,2011,16
data mining,robotics,2012,23
data mining,robotics,2013,20
data mining,robotics,2014,11
data mining,robotics,2015,27
data mining,robotics,2016,18
data mining,robotics,2017,15
data mining,security,1990,2
data mining,security,1991,7
data mining,security,1993,5
data mining,security,1994,3
data mining,security,1995,5
data mining,security,1996,27
data mining,security,1997,13
data mining,security,1998,2
data mining,security,2000,15
data mining,security,2001,8
data mining,security,2002,9
data mining,security,2003,11
data mining,security,2004,14
data mining,security,2005,16
data mining,security,2006,11
data mining,security,2007,13
data mining,security,2008,23
data mining,security,2009,22
data mining,security,2010,16
data mining,security,2011,37
data mining,security,2012,31
data mining,security,2013,49
data mining,security,2014,82
data mining,security,2015,78
data mining,security,2016,71
data mining,security,2017,36
data mining,signal processing,1997,4
data mining,signal processing,1998,4
data mining,signal processing,2001,6
data mining,signal processing,2002,4
data mining,signal processing,2003,15
data mining,signal processing,2004,17
data mining,signal processing,2005,17
data mining,signal processing,2006,48
data mining,signal processing,2007,40
data mining,signal processing,2008,50
data mining,signal processing,2009,43
data mining,signal processing,2010,56
data mining,signal processing,2011,71
data mining,signal processing,2012,96
data mining,signal processing,2013,153
data mining,signal processing,2014,158
data mining,signal processing,2015,238
data mining,signal processing,2016,174
data mining,signal processing,2017,114
data mining,software systems,1990,31
data mining,software systems,1991,25
data mining,software systems,1992,41
data mining,software systems,1993,45
data mining,software systems,1994,51
data mining,software systems,1995,37
data mining,software systems,1996,33
data mining,software systems,1997,33
data mining,software systems,1998,29
data mining,software systems,1999,49
data mining,software systems,2000,24
data mining,software systems,2001,30
data mining,software systems,2002,38
data mining,software systems,2003,44
data mining,software systems,2004,42
data mining,software systems,2005,25
data mining,software systems,2006,32
data mining,software systems,2007,30
data mining,software systems,2008,22
data mining,software systems,2009,34
data mining,software systems,2010,52
data mining,software systems,2011,49
data mining,software systems,2012,52
data mining,software systems,2013,44
data mining,software systems,2014,89
data mining,software systems,2015,51
data mining,software systems,2016,64
data mining,software systems,2017,34
data mining,systems,1990,1
data mining,systems,1991,2
data mining,systems,1992,5
data mining,systems,1993,2
data mining,systems,1994,14
data mining,systems,1995,9
data mining,systems,1996,14
data mining,systems,1997,4
data mining,systems,1998,7
data mining,systems,1999,19
data mining,systems,2000,7
data mining,systems,2001,16
data mining,systems,2002,35
data mining,systems,2003,21
data mining,systems,2004,21
data mining,systems,2005,15
data mining,systems,2006,13
data mining,systems,2007,20
data mining,systems,2008,25
data mining,systems,2009,27
data mining,systems,2010,18
data mining,systems,2011,25
data mining,systems,2012,19
data mining,systems,2013,47
data mining,systems,2014,71
data mining,systems,2015,66
data mining,systems,2016,104
data mining,systems,2017,80
data mining,theory,1991,8
data mining,theory,1992,13
data mining,theory,1993,11
data mining,theory,1994,29
data mining,theory,1995,34
data mining,theory,1996,15
data mining,theory,1997,29
data mining,theory,1998,17
data mining,theory,1999,24
data mining,theory,2000,16
data mining,theory,2001,32
data mining,theory,2002,29
data mining,theory,2003,71
data mining,theory,2004,38
data mining,theory,2005,41
data mining,theory,2006,54
data mining,theory,2007,67
data mining,theory,2008,71
data mining,theory,2009,75
data mining,theory,2010,86
data mining,theory,2011,124
data mining,theory,2012,96
data mining,theory,2013,169
data mining,theory,2014,138
data mining,theory,2015,146
data mining,theory,2016,146
data mining,theory,2017,55
data mining,vision,1990,1
data mining,vision,1991,3
data mining,vision,1992,4
data mining,vision,1993,6
data mining,vision,1994,11
data mining,vision,1995,10
data mining,vision,1996,4
data mining,vision,1997,32
data mining,vision,1998,47
data mining,vision,1999,22
data mining,vision,2000,13
data mining,vision,2001,58
data mining,vision,2002,77
data mining,vision,2003,91
data mining,vision,2004,126
data mining,vision,2005,128
data mining,vision,2006,211
data mining,vision,2007,179
data mining,vision,2008,300
data mining,vision,2009,355
data mining,vision,2010,353
data mining,vision,2011,590
data mining,vision,2012,583
data mining,vision,2013,819
data mining,vision,2014,763
data mining,vision,2015,1112
data mining,vision,2016,858
data mining,vision,2017,373
databases,ai,1990,28
databases,ai,1991,41
databases,ai,1992,53
databases,ai,1993,66
databases,ai,1994,50
databases,ai,1995,46
databases,ai,1996,83
databases,ai,1997,43
databases,ai,1998,59
databases,ai,1999,127
databases,ai,2000,82
databases,ai,2001,149
databases,ai,2002,164
databases,ai,2003,188
databases,ai,2004,295
databases,ai,2005,422
databases,ai,2006,458
databases,ai,2007,575
databases,ai,2008,691
databases,ai,2009,739
databases,ai,2010,787
databases,ai,2011,1025
databases,ai,2012,1230
databases,ai,2013,1566
databases,ai,2014,1434
databases,ai,2015,1826
databases,ai,2016,2181
databases,ai,2017,1257
databases,bioinformatics,1994,1
databases,bioinformatics,1995,4
databases,bioinformatics,1998,1
databases,bioinformatics,2000,1
databases,bioinformatics,2001,3
databases,bioinformatics,2002,6
databases,bioinformatics,2003,24
databases,bioinformatics,2004,36
databases,bioinformatics,2005,86
databases,bioinformatics,2006,36
databases,bioinformatics,2007,64
databases,bioinformatics,2008,88
databases,bioinformatics,2009,61
databases,bioinformatics,2010,67
databases,bioinformatics,2011,124
databases,bioinformatics,2012,144
databases,bioinformatics,2013,114
databases,bioinformatics,2014,158
databases,bioinformatics,2015,141
databases,bioinformatics,2016,146
databases,bioinformatics,2017,121
databases,computational linguistics,1990,15
databases,computational linguistics,1991,15
databases,computational linguistics,1992,7
databases,computational linguistics,1993,23
databases,computational linguistics,1994,14
databases,computational linguistics,1995,24
databases,computational linguistics,1996,18
databases,computational linguistics,1997,25
databases,computational linguistics,1998,12
databases,computational linguistics,1999,32
databases,computational linguistics,2000,32
databases,computational linguistics,2001,61
databases,computational linguistics,2002,57
databases,computational linguistics,2003,88
databases,computational linguistics,2004,112
databases,computational linguistics,2005,188
databases,computational linguistics,2006,203
databases,computational linguistics,2007,306
databases,computational linguistics,2008,289
databases,computational linguistics,2009,215
databases,computational linguistics,2010,216
databases,computational linguistics,2011,446
databases,computational linguistics,2012,423
databases,computational linguistics,2013,700
databases,computational linguistics,2014,446
databases,computational linguistics,2015,711
databases,computational linguistics,2016,757
databases,computational linguistics,2017,410
databases,data mining,1990,6
databases,data mining,1991,18
databases,data mining,1992,34
databases,data mining,1993,57
databases,data mining,1994,59
databases,data mining,1995,104
databases,data mining,1996,103
databases,data mining,1997,97
databases,data mining,1998,99
databases,data mining,1999,107
databases,data mining,2000,83
databases,data mining,2001,129
databases,data mining,2002,185
databases,data mining,2003,214
databases,data mining,2004,256
databases,data mining,2005,408
databases,data mining,2006,528
databases,data mining,2007,604
databases,data mining,2008,817
databases,data mining,2009,984
databases,data mining,2010,1027
databases,data mining,2011,1225
databases,data mining,2012,1598
databases,data mining,2013,2131
databases,data mining,2014,1943
databases,data mining,2015,2219
databases,data mining,2016,2298
databases,data mining,2017,1193
databases,databases,1990,161
databases,databases,1991,304
databases,databases,1992,332
databases,databases,1993,294
databases,databases,1994,382
databases,databases,1995,454
databases,databases,1996,494
databases,databases,1997,510
databases,databases,1998,594
databases,databases,1999,685
databases,databases,2000,594
databases,databases,2001,840
databases,databases,2002,1001
databases,databases,2003,1217
databases,databases,2004,1619
databases,databases,2005,2309
databases,databases,2006,2369
databases,databases,2007,3135
databases,databases,2008,3733
databases,databases,2009,3312
databases,databases,2010,3788
databases,databases,2011,4232
databases,databases,2012,4845
databases,databases,2013,5595
databases,databases,2014,4778
databases,databases,2015,5317
databases,databases,2016,5287
databases,databases,2017,2590
databases,graphics,1991,3
databases,graphics,1992,5
databases,graphics,1994,2
databases,graphics,1995,1
databases,graphics,1996,10
databases,graphics,1997,5
databases,graphics,1998,9
databases,graphics,1999,3
databases,graphics,2000,2
databases,graphics,2001,3
databases,graphics,2002,5
databases,graphics,2003,34
databases,graphics,2004,12
databases,graphics,2005,18
databases,graphics,2006,8
databases,graphics,2007,12
databases,graphics,2008,16
databases,graphics,2009,14
databases,graphics,2010,19
databases,graphics,2011,24
databases,graphics,2012,58
databases,graphics,2013,35
databases,graphics,2014,34
databases,graphics,2015,45
databases,graphics,2016,77
databases,graphics,2017,25
databases,hci,1994,1
databases,hci,1995,1
databases,hci,1997,3
databases,hci,1998,2
databases,hci,1999,2
databases,hci,2000,3
databases,hci,2001,7
databases,hci,2002,1
databases,hci,2003,7
databases,hci,2004,7
databases,hci,2005,8
databases,hci,2006,7
databases,hci,2007,15
databases,hci,2008,31
databases,hci,2009,9
databases,hci,2010,25
databases,hci,2011,14
databases,hci,2012,28
databases,hci,2013,30
databases,hci,2014,25
databases,hci,2015,26
databases,hci,2016,36
databases,hci,2017,25
databases,information theory,1991,2
databases,information theory,1992,21
databases,information theory,1994,17
databases,information theory,1995,13
databases,information theory,1996,3
databases,information theory,1997,14
databases,information theory,1998,17
databases,information theory,1999,6
databases,information theory,2000,16
databases,information theory,2001,10
databases,information theory,2002,16
databases,information theory,2003,22
databases,information theory,2004,29
databases,information theory,2005,45
databases,information theory,2006,41
databases,information theory,2007,45
databases,information theory,2008,33
databases,information theory,2009,44
databases,information theory,2010,30
databases,information theory,2011,59
databases,information theory,2012,55
databases,information theory,2013,52
databases,information theory,2014,73
databases,information theory,2015,66
databases,information theory,2016,65
databases,information theory,2017,31
databases,medical informatics,1996,1
databases,medical informatics,1997,1
databases,medical informatics,1998,1
databases,medical informatics,1999,1
databases,medical informatics,2000,5
databases,medical informatics,2001,1
databases,medical informatics,2002,7
databases,medical informatics,2003,1
databases,medical informatics,2004,13
databases,medical informatics,2005,8
databases,medical informatics,2006,12
databases,medical informatics,2007,14
databases,medical informatics,2008,9
databases,medical informatics,2009,11
databases,medical informatics,2010,22
databases,medical informatics,2011,28
databases,medical informatics,2012,29
databases,medical informatics,2013,58
databases,medical informatics,2014,35
databases,medical informatics,2015,45
databases,medical informatics,2016,60
databases,medical informatics,2017,86
databases,multimedia,1995,5
databases,multimedia,1996,6
databases,multimedia,1997,19
databases,multimedia,1998,40
databases,multimedia,1999,55
databases,multimedia,2000,19
databases,multimedia,2001,37
databases,multimedia,2002,28
databases,multimedia,2003,48
databases,multimedia,2004,30
databases,multimedia,2005,68
databases,multimedia,2006,93
databases,multimedia,2007,66
databases,multimedia,2008,68
databases,multimedia,2009,72
databases,multimedia,2010,77
databases,multimedia,2011,132
databases,multimedia,2012,126
databases,multimedia,2013,127
databases,multimedia,2014,92
databases,multimedia,2015,180
databases,multimedia,2016,135
databases,multimedia,2017,106
databases,networks,1990,1
databases,networks,1991,4
databases,networks,1992,7
databases,networks,1993,19
databases,networks,1994,7
databases,networks,1995,5
databases,networks,1996,7
databases,networks,1997,7
databases,networks,1998,17
databases,networks,1999,32
databases,networks,2000,16
databases,networks,2001,27
databases,networks,2002,28
databases,networks,2003,47
databases,networks,2004,58
databases,networks,2005,64
databases,networks,2006,93
databases,networks,2007,71
databases,networks,2008,90
databases,networks,2009,96
databases,networks,2010,60
databases,networks,2011,83
databases,networks,2012,63
databases,networks,2013,91
databases,networks,2014,80
databases,networks,2015,102
databases,networks,2016,101
databases,networks,2017,96
databases,robotics,1991,1
databases,robotics,1993,4
databases,robotics,1995,1
databases,robotics,1999,3
databases,robotics,2002,1
databases,robotics,2003,24
databases,robotics,2004,3
databases,robotics,2006,7
databases,robotics,2007,4
databases,robotics,2008,5
databases,robotics,2009,5
databases,robotics,2010,10
databases,robotics,2011,10
databases,robotics,2012,24
databases,robotics,2013,22
databases,robotics,2014,6
databases,robotics,2015,26
databases,robotics,2016,18
databases,robotics,2017,10
databases,security,1990,15
databases,security,1991,14
databases,security,1993,5
databases,security,1994,3
databases,security,1995,11
databases,security,1996,27
databases,security,1997,15
databases,security,1998,4
databases,security,1999,6
databases,security,2000,25
databases,security,2001,9
databases,security,2002,11
databases,security,2003,14
databases,security,2004,21
databases,security,2005,33
databases,security,2006,20
databases,security,2007,43
databases,security,2008,33
databases,security,2009,46
databases,security,2010,52
databases,security,2011,46
databases,security,2012,47
databases,security,2013,128
databases,security,2014,86
databases,security,2015,176
databases,security,2016,151
databases,security,2017,151
databases,signal processing,1995,1
databases,signal processing,1996,2
databases,signal processing,1997,2
databases,signal processing,1998,4
databases,signal processing,1999,3
databases,signal processing,2000,3
databases,signal processing,2001,16
databases,signal processing,2002,3
databases,signal processing,2003,23
databases,signal processing,2004,16
databases,signal processing,2005,38
databases,signal processing,2006,60
databases,signal processing,2007,47
databases,signal processing,2008,53
databases,signal processing,2009,50
databases,signal processing,2010,55
databases,signal processing,2011,67
databases,signal processing,2012,72
databases,signal processing,2013,112
databases,signal processing,2014,88
databases,signal processing,2015,183
databases,signal processing,2016,131
databases,signal processing,2017,117
databases,software systems,1990,91
databases,software systems,1991,81
databases,software systems,1992,86
databases,software systems,1993,74
databases,software systems,1994,77
databases,software systems,1995,71
databases,software systems,1996,77
databases,software systems,1997,64
databases,software systems,1998,64
databases,software systems,1999,93
databases,software systems,2000,48
databases,software systems,2001,50
databases,software systems,2002,61
databases,software systems,2003,70
databases,software systems,2004,65
databases,software systems,2005,56
databases,software systems,2006,53
databases,software systems,2007,128
databases,software systems,2008,53
databases,software systems,2009,74
databases,software systems,2010,100
databases,software systems,2011,111
databases,software systems,2012,126
databases,software systems,2013,81
databases,software systems,2014,176
databases,software systems,2015,140
databases,software systems,2016,123
databases,software systems,2017,104
databases,systems,1990,4
databases,systems,1991,5
databases,systems,1992,10
databases,systems,1993,3
databases,systems,1994,21
databases,systems,1995,12
databases,systems,1996,22
databases,systems,1997,4
databases,systems,1998,20
databases,systems,1999,29
databases,systems,2000,12
databases,systems,2001,16
databases,systems,2002,26
databases,systems,2003,23
databases,systems,2004,31
databases,systems,2005,23
databases,systems,2006,31
databases,systems,2007,43
databases,systems,2008,37
databases,systems,2009,50
databases,systems,2010,51
databases,systems,2011,69
databases,systems,2012,58
databases,systems,2013,70
databases,systems,2014,88
databases,systems,2015,118
databases,systems,2016,138
databases,systems,2017,128
databases,theory,1990,74
databases,theory,1991,28
databases,theory,1992,27
databases,theory,1993,22
databases,theory,1994,36
databases,theory,1995,41
databases,theory,1996,25
databases,theory,1997,44
databases,theory,1998,29
databases,theory,1999,35
databases,theory,2000,26
databases,theory,2001,39
databases,theory,2002,43
databases,theory,2003,83
databases,theory,2004,59
databases,theory,2005,71
databases,theory,2006,79
databases,theory,2007,103
databases,theory,2008,135
databases,theory,2009,110
databases,theory,2010,131
databases,theory,2011,132
databases,theory,2012,150
databases,theory,2013,195
databases,theory,2014,139
databases,theory,2015,193
databases,theory,2016,199
databases,theory,2017,88
databases,vision,1990,5
databases,vision,1991,6
databases,vision,1992,9
databases,vision,1993,12
databases,vision,1994,24
databases,vision,1995,16
databases,vision,1996,13
databases,vision,1997,65
databases,vision,1998,23
databases,vision,1999,38
databases,vision,2000,22
databases,vision,2001,48
databases,vision,2002,68
databases,vision,2003,121
databases,vision,2004,116
databases,vision,2005,163
databases,vision,2006,151
databases,vision,2007,112
databases,vision,2008,280
databases,vision,2009,189
databases,vision,2010,255
databases,vision,2011,383
databases,vision,2012,433
databases,vision,2013,592
databases,vision,2014,382
databases,vision,2015,790
databases,vision,2016,690
databases,vision,2017,347
graphics,ai,1990,9
graphics,ai,1991,3
graphics,ai,1992,1
graphics,ai,1993,7
graphics,ai,1994,2
graphics,ai,1995,4
graphics,ai,1996,5
graphics,ai,1997,6
graphics,ai,1998,21
graphics,ai,1999,7
graphics,ai,2000,15
graphics,ai,2001,26
graphics,ai,2002,41
graphics,ai,2003,17
graphics,ai,2004,26
graphics,ai,2005,32
graphics,ai,2006,56
graphics,ai,2007,34
graphics,ai,2008,63
graphics,ai,2009,61
graphics,ai,2010,81
graphics,ai,2011,98
graphics,ai,2012,103
graphics,ai,2013,129
graphics,ai,2014,147
graphics,ai,2015,197
graphics,ai,2016,196
graphics,ai,2017,110
graphics,bioinformatics,2001,1
graphics,bioinformatics,2004,1
graphics,bioinformatics,2005,1
graphics,bioinformatics,2006,9
graphics,bioinformatics,2007,2
graphics,bioinformatics,2008,26
graphics,bioinformatics,2009,23
graphics,bioinformatics,2010,17
graphics,bioinformatics,2011,45
graphics,bioinformatics,2012,25
graphics,bioinformatics,2013,38
graphics,bioinformatics,2014,53
graphics,bioinformatics,2015,25
graphics,bioinformatics,2016,94
graphics,bioinformatics,2017,27
graphics,computational linguistics,1991,2
graphics,computational linguistics,2000,1
graphics,computational linguistics,2003,2
graphics,computational linguistics,2004,3
graphics,computational linguistics,2006,3
graphics,computational linguistics,2007,7
graphics,computational linguistics,2008,5
graphics,computational linguistics,2009,6
graphics,computational linguistics,2010,4
graphics,computational linguistics,2011,6
graphics,computational linguistics,2012,13
graphics,computational linguistics,2013,6
graphics,computational linguistics,2014,8
graphics,computational linguistics,2015,8
graphics,computational linguistics,2016,18
graphics,computational linguistics,2017,7
graphics,data mining,1994,2
graphics,data mining,1995,1
graphics,data mining,1997,1
graphics,data mining,1999,1
graphics,data mining,2000,1
graphics,data mining,2002,1
graphics,data mining,2003,3
graphics,data mining,2004,5
graphics,data mining,2005,4
graphics,data mining,2006,6
graphics,data mining,2007,11
graphics,data mining,2008,12
graphics,data mining,2009,10
graphics,data mining,2010,23
graphics,data mining,2011,26
graphics,data mining,2012,34
graphics,data mining,2013,39
graphics,data mining,2014,66
graphics,data mining,2015,24
graphics,data mining,2016,67
graphics,data mining,2017,44
graphics,databases,1994,3
graphics,databases,1995,1
graphics,databases,1996,9
graphics,databases,1997,5
graphics,databases,1998,2
graphics,databases,1999,4
graphics,databases,2000,5
graphics,databases,2002,3
graphics,databases,2003,7
graphics,databases,2004,11
graphics,databases,2005,8
graphics,databases,2006,19
graphics,databases,2007,39
graphics,databases,2008,22
graphics,databases,2009,21
graphics,databases,2010,32
graphics,databases,2011,20
graphics,databases,2012,47
graphics,databases,2013,50
graphics,databases,2014,67
graphics,databases,2015,38
graphics,databases,2016,70
graphics,databases,2017,61
graphics,graphics,1990,305
graphics,graphics,1991,230
graphics,graphics,1992,295
graphics,graphics,1993,343
graphics,graphics,1994,304
graphics,graphics,1995,451
graphics,graphics,1996,488
graphics,graphics,1997,489
graphics,graphics,1998,483
graphics,graphics,1999,486
graphics,graphics,2000,586
graphics,graphics,2001,762
graphics,graphics,2002,743
graphics,graphics,2003,943
graphics,graphics,2004,1156
graphics,graphics,2005,1386
graphics,graphics,2006,1701
graphics,graphics,2007,1748
graphics,graphics,2008,2493
graphics,graphics,2009,2720
graphics,graphics,2010,3200
graphics,graphics,2011,3762
graphics,graphics,2012,4374
graphics,graphics,2013,4643
graphics,graphics,2014,4794
graphics,graphics,2015,4298
graphics,graphics,2016,6080
graphics,graphics,2017,3414
graphics,hci,1992,1
graphics,hci,1995,1
graphics,hci,1996,1
graphics,hci,1997,2
graphics,hci,1999,2
graphics,hci,2000,7
graphics,hci,2001,6
graphics,hci,2002,4
graphics,hci,2003,7
graphics,hci,2004,8
graphics,hci,2005,10
graphics,hci,2006,26
graphics,hci,2007,20
graphics,hci,2008,37
graphics,hci,2009,20
graphics,hci,2010,27
graphics,hci,2011,21
graphics,hci,2012,41
graphics,hci,2013,45
graphics,hci,2014,42
graphics,hci,2015,43
graphics,hci,2016,57
graphics,hci,2017,41
graphics,information theory,1990,1
graphics,information theory,1992,4
graphics,information theory,1993,3
graphics,information theory,1994,4
graphics,information theory,1995,6
graphics,information theory,1996,5
graphics,information theory,1997,8
graphics,information theory,1998,7
graphics,information theory,1999,5
graphics,information theory,2000,4
graphics,information theory,2001,7
graphics,information theory,2002,10
graphics,information theory,2003,7
graphics,information theory,2004,2
graphics,information theory,2005,7
graphics,information theory,2006,18
graphics,information theory,2007,17
graphics,information theory,2008,15
graphics,information theory,2009,23
graphics,information theory,2010,17
graphics,information theory,2011,29
graphics,information theory,2012,34
graphics,information theory,2013,27
graphics,information theory,2014,30
graphics,information theory,2015,25
graphics,information theory,2016,27
graphics,information theory,2017,9
graphics,medical informatics,1997,1
graphics,medical informatics,2002,1
graphics,medical informatics,2008,2
graphics,medical informatics,2009,3
graphics,medical informatics,2010,3
graphics,medical informatics,2011,7
graphics,medical informatics,2012,6
graphics,medical informatics,2013,10
graphics,medical informatics,2014,10
graphics,medical informatics,2015,2
graphics,medical informatics,2016,17
graphics,medical informatics,2017,11
graphics,multimedia,1993,3
graphics,multimedia,1994,3
graphics,multimedia,1995,2
graphics,multimedia,1996,8
graphics,multimedia,1997,6
graphics,multimedia,1998,11
graphics,multimedia,1999,6
graphics,multimedia,2000,6
graphics,multimedia,2001,19
graphics,multimedia,2002,18
graphics,multimedia,2003,28
graphics,multimedia,2004,26
graphics,multimedia,2005,35
graphics,multimedia,2006,66
graphics,multimedia,2007,39
graphics,multimedia,2008,54
graphics,multimedia,2009,70
graphics,multimedia,2010,90
graphics,multimedia,2011,81
graphics,multimedia,2012,107
graphics,multimedia,2013,140
graphics,multimedia,2014,116
graphics,multimedia,2015,155
graphics,multimedia,2016,208
graphics,multimedia,2017,98
graphics,networks,1993,5
graphics,networks,1994,2
graphics,networks,1996,1
graphics,networks,1997,7
graphics,networks,1998,5
graphics,networks,1999,4
graphics,networks,2000,3
graphics,networks,2001,5
graphics,networks,2002,7
graphics,networks,2003,2
graphics,networks,2004,3
graphics,networks,2005,6
graphics,networks,2006,5
graphics,networks,2007,5
graphics,networks,2008,6
graphics,networks,2009,5
graphics,networks,2010,13
graphics,networks,2011,4
graphics,networks,2012,3
graphics,networks,2013,3
graphics,networks,2014,4
graphics,networks,2015,3
graphics,networks,2016,8
graphics,networks,2017,1
graphics,robotics,1990,18
graphics,robotics,1991,5
graphics,robotics,1992,6
graphics,robotics,1993,3
graphics,robotics,1994,9
graphics,robotics,1995,14
graphics,robotics,1996,21
graphics,robotics,1997,9
graphics,robotics,1998,13
graphics,robotics,1999,24
graphics,robotics,2000,14
graphics,robotics,2001,64
graphics,robotics,2002,37
graphics,robotics,2003,38
graphics,robotics,2004,60
graphics,robotics,2005,51
graphics,robotics,2006,72
graphics,robotics,2007,66
graphics,robotics,2008,103
graphics,robotics,2009,67
graphics,robotics,2010,78
graphics,robotics,2011,72
graphics,robotics,2012,104
graphics,robotics,2013,72
graphics,robotics,2014,131
graphics,robotics,2015,137
graphics,robotics,2016,108
graphics,robotics,2017,60
graphics,security,2004,3
graphics,security,2005,1
graphics,security,2006,3
graphics,security,2007,2
graphics,security,2009,1
graphics,security,2010,9
graphics,security,2011,3
graphics,security,2012,5
graphics,security,2013,10
graphics,security,2014,14
graphics,security,2015,9
graphics,security,2016,3
graphics,security,2017,7
graphics,signal processing,1992,1
graphics,signal processing,1993,6
graphics,signal processing,1994,3
graphics,signal processing,1995,9
graphics,signal processing,1996,9
graphics,signal processing,1997,10
graphics,signal processing,1998,17
graphics,signal processing,1999,18
graphics,signal processing,2000,9
graphics,signal processing,2001,29
graphics,signal processing,2002,24
graphics,signal processing,2003,32
graphics,signal processing,2004,38
graphics,signal processing,2005,40
graphics,signal processing,2006,74
graphics,signal processing,2007,65
graphics,signal processing,2008,99
graphics,signal processing,2009,97
graphics,signal processing,2010,137
graphics,signal processing,2011,145
graphics,signal processing,2012,158
graphics,signal processing,2013,191
graphics,signal processing,2014,212
graphics,signal processing,2015,313
graphics,signal processing,2016,361
graphics,signal processing,2017,190
graphics,software systems,1990,4
graphics,software systems,1991,9
graphics,software systems,1992,13
graphics,software systems,1993,1
graphics,software systems,1994,4
graphics,software systems,1995,4
graphics,software systems,1996,4
graphics,software systems,1997,1
graphics,software systems,1998,1
graphics,software systems,2000,1
graphics,software systems,2001,4
graphics,software systems,2002,5
graphics,software systems,2003,3
graphics,software systems,2004,1
graphics,software systems,2005,18
graphics,software systems,2006,19
graphics,software systems,2007,7
graphics,software systems,2008,14
graphics,software systems,2009,21
graphics,software systems,2010,11
graphics,software systems,2011,39
graphics,software systems,2012,13
graphics,software systems,2013,17
graphics,software systems,2014,22
graphics,software systems,2015,13
graphics,software systems,2016,22
graphics,software systems,2017,9
graphics,systems,1990,2
graphics,systems,1992,6
graphics,systems,1993,7
graphics,systems,1994,4
graphics,systems,1995,3
graphics,systems,1996,5
graphics,systems,1997,2
graphics,systems,1998,3
graphics,systems,1999,2
graphics,systems,2000,5
graphics,systems,2001,2
graphics,systems,2002,4
graphics,systems,2003,7
graphics,systems,2004,3
graphics,systems,2005,4
graphics,systems,2006,4
graphics,systems,2007,15
graphics,systems,2008,10
graphics,systems,2009,16
graphics,systems,2010,12
graphics,systems,2011,13
graphics,systems,2012,20
graphics,systems,2013,25
graphics,systems,2014,33
graphics,systems,2015,22
graphics,systems,2016,15
graphics,systems,2017,12
graphics,theory,1990,4
graphics,theory,1991,9
graphics,theory,1992,9
graphics,theory,1993,10
graphics,theory,1994,13
graphics,theory,1995,11
graphics,theory,1996,15
graphics,theory,1997,26
graphics,theory,1998,18
graphics,theory,1999,21
graphics,theory,2000,14
graphics,theory,2001,12
graphics,theory,2002,25
graphics,theory,2003,21
graphics,theory,2004,25
graphics,theory,2005,22
graphics,theory,2006,32
graphics,theory,2007,33
graphics,theory,2008,34
graphics,theory,2009,38
graphics,theory,2010,32
