paper_community,reference_community,year,citations
ai,medical informatics,2003,24
ai,medical informatics,2004,34
ai,medical informatics,2005,51
ai,medical informatics,2006,51
ai,medical informatics,2007,76
ai,medical informatics,2008,90
ai,medical informatics,2009,142
ai,medical informatics,2010,144
ai,medical informatics,2011,186
ai,medical informatics,2012,238
ai,medical informatics,2013,258
ai,medical informatics,2014,288
ai,medical informatics,2015,192
ai,medical informatics,2016,272
ai,medical informatics,2017,193
ai,multimedia,1995,3
ai,multimedia,1996,1
ai,multimedia,1997,6
ai,multimedia,1998,7
ai,multimedia,1999,5
ai,multimedia,2000,6
ai,multimedia,2001,7
ai,multimedia,2002,8
ai,multimedia,2003,10
ai,multimedia,2004,21
ai,multimedia,2005,33
ai,multimedia,2006,27
ai,multimedia,2007,53
ai,multimedia,2008,109
ai,multimedia,2009,168
ai,multimedia,2010,126
ai,multimedia,2011,207
ai,multimedia,2012,280
ai,multimedia,2013,519
ai,multimedia,2014,382
ai,multimedia,2015,729
ai,multimedia,2016,1203
ai,multimedia,2017,693
ai,networks,1990,1
ai,networks,1991,4
ai,networks,1992,1
ai,networks,1993,4
ai,networks,1994,4
ai,networks,1995,5
ai,networks,1996,2
ai,networks,1997,15
ai,networks,1998,19
ai,networks,1999,19
ai,networks,2000,40
ai,networks,2001,21
ai,networks,2002,27
ai,networks,2003,54
ai,networks,2004,23
ai,networks,2005,28
ai,networks,2006,80
ai,networks,2007,47
ai,networks,2008,105
ai,networks,2009,179
ai,networks,2010,139
ai,networks,2011,229
ai,networks,2012,214
ai,networks,2013,310
ai,networks,2014,338
ai,networks,2015,418
ai,networks,2016,441
ai,networks,2017,359
ai,robotics,1990,72
ai,robotics,1991,120
ai,robotics,1992,122
ai,robotics,1993,134
ai,robotics,1994,217
ai,robotics,1995,403
ai,robotics,1996,310
ai,robotics,1997,443
ai,robotics,1998,337
ai,robotics,1999,389
ai,robotics,2000,386
ai,robotics,2001,442
ai,robotics,2002,425
ai,robotics,2003,683
ai,robotics,2004,475
ai,robotics,2005,702
ai,robotics,2006,742
ai,robotics,2007,834
ai,robotics,2008,1189
ai,robotics,2009,1189
ai,robotics,2010,1340
ai,robotics,2011,1264
ai,robotics,2012,1863
ai,robotics,2013,2089
ai,robotics,2014,2339
ai,robotics,2015,2548
ai,robotics,2016,2549
ai,robotics,2017,2269
ai,security,1995,3
ai,security,1998,1
ai,security,2000,1
ai,security,2001,1
ai,security,2002,2
ai,security,2003,3
ai,security,2004,3
ai,security,2005,4
ai,security,2006,21
ai,security,2007,28
ai,security,2008,13
ai,security,2009,48
ai,security,2010,39
ai,security,2011,53
ai,security,2012,114
ai,security,2013,114
ai,security,2014,133
ai,security,2015,154
ai,security,2016,269
ai,security,2017,163
ai,signal processing,1991,2
ai,signal processing,1992,5
